City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Sobolevo,RU,54.4299,31.8996,272.98,97,100,4.1,Clouds
82,Kruisfontein,ZA,-34.0033,24.7314,298.64,55,4,11.99,Clear
83,Cairns,AU,-16.9167,145.7667,298.74,97,100,0.0,Rain
84,Westport,US,41.1415,-73.3579,286.05,70,100,3.58,Clouds
85,Sitka,US,57.0531,-135.33,271.82,60,86,2.36,Clouds
86,Buraydah,SA,26.326,43.975,301.4,19,100,3.09,Clouds
87,Geraldton,AU,-28.7667,114.6,294.38,78,0,6.17,Clear
88,Bud,US,39.447,-86.1758,278.65,93,86,1.21,Clouds
89,Champerico,GT,14.3,-91.9167,297.45,85,100,2.02,Clouds
90,Lake Charles,US,30.2131,-93.2044,286.47,98,0,0.0,Clear
91,Fethiye,TR,36.6217,29.1164,286.08,47,100,1.34,Clouds
92,Qaqortoq,GL,60.7167,-46.0333,272.78,75,100,4.37,Clouds
93,Cotusca,RO,48.1333,26.85,275.7,72,100,2.32,Clouds
94,Lakatoro,VU,-16.0999,167.4164,300.51,81,43,4.55,Clouds
95,Gilgit,PK,35.9221,74.3087,278.33,41,16,1.09,Clouds
96,Vanavara,RU,60.34,102.2797,253.66,97,100,3.3,Clouds
97,Nikolskoye,RU,59.7035,30.7861,270.09,93,88,2.39,Clouds
98,Korla,CN,41.7597,86.1469,265.29,24,3,8.86,Clear
99,Hobart,AU,-42.8794,147.3294,283.18,78,40,3.09,Clouds
100,Carauari,BR,-4.8828,-66.8958,298.13,88,100,0.61,Clouds
101,Airai,TL,-8.9266,125.4092,289.77,93,100,0.81,Clouds
102,Iqaluit,CA,63.7506,-68.5145,252.0,84,100,16.98,Snow
103,Greenville,US,35.6127,-77.3663,288.16,80,0,3.09,Clear
104,Demba,CD,-5.51,22.2667,301.03,55,61,0.38,Rain
105,Georgetown,MY,5.4112,100.3354,301.61,87,40,1.54,Clouds
106,Dunedin,NZ,-45.8742,170.5036,285.26,87,100,0.45,Clouds
107,Sao Filipe,CV,14.8961,-24.4956,298.59,57,72,5.15,Clouds
108,Hasaki,JP,35.7333,140.8333,286.09,63,100,9.46,Clouds
109,Barmer,IN,25.75,71.3833,294.12,15,8,1.91,Clear
110,Toora-Khem,RU,52.4675,96.11,250.04,96,100,0.36,Clouds
111,Severo-Kurilsk,RU,50.6789,156.125,271.9,76,90,13.7,Snow
112,Poum,NC,-20.2333,164.0167,300.01,79,50,7.77,Clouds
113,Taybad,IR,34.74,60.7756,285.69,46,7,5.83,Clear
114,Vanimo,PG,-2.6741,141.3028,299.26,86,93,2.32,Clouds
115,Buala,SB,-8.145,159.5921,299.58,82,87,2.33,Rain
116,Quelimane,MZ,-17.8786,36.8883,303.12,66,75,4.63,Clouds
117,Tuyen Quang,VN,21.8233,105.2181,298.28,89,43,0.8,Clouds
118,Hilo,US,19.7297,-155.09,296.07,88,20,2.06,Clouds
119,San Patricio,US,28.017,-97.5169,291.08,91,0,2.6,Clear
120,Santa Marta,CO,11.2408,-74.199,301.98,75,20,3.09,Clouds
121,Fuxin,CN,42.0156,121.6589,271.78,37,100,8.22,Clouds
122,Paita,PE,-5.0892,-81.1144,293.98,74,87,4.27,Clouds
123,Tvoroyri,FO,61.5556,-6.8111,282.23,88,3,5.15,Clear
124,Kayerkan,RU,69.3497,87.7602,258.44,92,100,2.87,Clouds
125,Severnoye,RU,56.3491,78.3619,250.05,92,100,2.65,Clouds
126,Podor,MR,16.6527,-14.9587,306.81,9,0,5.83,Clear
127,Mogzon,RU,51.7435,111.9606,247.99,85,100,5.7,Clouds
128,Toropets,RU,56.4978,31.6353,271.63,94,100,3.53,Clouds
129,Avarua,CK,-21.2078,-159.775,296.18,88,75,3.6,Haze
130,Yenagoa,NG,4.9247,6.2642,305.15,52,89,0.84,Clouds
131,Jardim,BR,-21.4803,-56.1381,306.64,34,0,1.59,Clear
132,Port-Cartier,CA,50.0334,-66.8654,272.45,80,100,4.77,Clouds
133,Arraial Do Cabo,BR,-22.9661,-42.0278,297.13,88,100,7.2,Drizzle
134,Egvekinot,RU,66.3167,-179.1667,257.85,85,96,2.29,Clouds
135,Soe,ID,-9.8607,124.284,293.48,90,97,1.4,Clouds
136,Dvinskoy,RU,62.1535,45.1175,262.9,97,100,1.6,Clouds
137,Willemstad,CW,12.1084,-68.9335,301.1,74,40,5.14,Clouds
138,Kavieng,PG,-2.5744,150.7967,301.49,66,14,2.66,Clouds
139,Ahipara,NZ,-35.1667,173.1667,285.05,84,57,1.29,Clouds
140,Kaitangata,NZ,-46.2817,169.8464,284.08,91,100,1.3,Clouds
141,Tecoanapa,MX,16.5167,-98.75,297.8,78,3,1.11,Clear
142,Gerash,IR,27.6652,54.1371,298.23,19,0,0.26,Clear
143,Zhaotong,CN,27.3167,103.7167,280.91,93,10,2.53,Clear
144,Butaritari,KI,3.0707,172.7902,300.28,76,55,4.03,Clouds
145,Yaan,NG,7.3833,8.5667,308.29,16,42,1.87,Clouds
146,The Valley,AI,18.217,-63.0578,302.09,69,20,5.66,Clouds
147,Evensk,RU,61.95,159.2333,266.88,76,100,11.17,Clouds
148,Nogales,MX,31.3086,-110.9422,281.62,30,100,3.14,Clouds
149,Jamestown,US,42.097,-79.2353,276.49,73,100,2.24,Clouds
150,Lima,PE,-12.0432,-77.0282,292.29,83,100,2.57,Clouds
151,Talnakh,RU,69.4865,88.3972,258.82,98,100,4.26,Clouds
152,Adre,TD,13.4667,22.2,304.89,14,48,4.4,Clouds
153,Souillac,MU,-20.5167,57.5167,299.36,69,75,4.12,Clouds
154,Dobbs Ferry,US,41.0145,-73.8726,284.52,73,100,1.34,Clouds
155,San Quintin,MX,30.4833,-115.95,286.95,85,100,2.35,Clouds
156,Saldanha,ZA,-33.0117,17.9442,307.18,57,95,6.67,Clouds
157,Svetlyy,RU,54.675,20.1347,275.18,97,100,3.72,Clouds
158,Phan Thiet,VN,10.9333,108.1,298.41,89,0,3.01,Clear
