City_ID,city,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind
58,Lahad Datu,MY,2022-11-23 16:04:32,5.0268,118.327,75.88,93,100,2.98
59,Mezen,RU,2022-11-23 16:04:33,65.8522,44.24,13.06,96,47,4.0
60,Yellowknife,CA,2022-11-23 16:01:27,62.456,-114.3525,20.35,94,100,12.06
61,Villazon,BO,2022-11-23 16:04:33,-22.0866,-65.5942,62.49,27,98,7.78
62,Katsuura,JP,2022-11-23 16:04:34,35.1333,140.3,57.25,88,93,21.23
63,Gore,NZ,2022-11-23 16:04:34,-46.1028,168.9436,42.13,98,91,2.89
64,Cabo San Lucas,MX,2022-11-23 15:59:38,22.8909,-109.9124,75.51,70,6,5.48
65,Thompson,CA,2022-11-23 16:04:35,55.7435,-97.8558,27.64,94,100,3.56
66,Urucara,BR,2022-11-23 16:04:35,-2.5364,-57.76,84.06,69,99,1.95
67,Soe,ID,2022-11-23 16:04:36,-9.8607,124.284,69.22,89,99,2.46
68,Barrow,US,2022-11-23 15:58:19,71.2906,-156.7887,6.82,85,100,12.66
69,Tiksi,RU,2022-11-23 16:04:37,71.6872,128.8694,-25.35,100,100,3.67
70,Avarua,CK,2022-11-23 15:59:48,-21.2078,-159.775,75.25,83,40,8.05
71,Jamestown,US,2022-11-23 15:58:01,42.097,-79.2353,41.72,10,50,3.6
72,Oskemen,KZ,2022-11-23 16:04:37,49.9565,82.6119,8.56,78,100,2.24
73,Kikwit,CD,2022-11-23 16:04:38,-5.041,18.8162,79.86,71,43,2.71
74,Kavieng,PG,2022-11-23 16:04:39,-2.5744,150.7967,82.26,67,69,12.48
75,Strezhevoy,RU,2022-11-23 16:04:39,60.7333,77.5889,-13.11,96,90,7.54
76,Bardiyah,LY,2022-11-23 16:04:40,31.7561,25.0865,67.6,39,52,10.31
77,Mecca,SA,2022-11-23 16:04:40,21.4267,39.8261,82.0,58,50,13.22
78,Mackay,AU,2022-11-23 16:04:41,-21.15,149.2,76.68,86,62,9.15
79,Leirvik,NO,2022-11-23 16:04:41,59.7798,5.5005,46.81,49,0,24.16
80,Port Elizabeth,ZA,2022-11-23 15:59:42,-33.918,25.5701,72.1,82,40,28.77
81,Los Llanos De Aridane,ES,2022-11-23 16:04:42,28.6585,-17.9182,69.55,84,40,5.75
82,Vila Velha,BR,2022-11-23 16:04:42,-20.3297,-40.2925,80.55,76,75,9.22
83,Qaanaaq,GL,2022-11-23 16:00:57,77.484,-69.3632,20.64,79,100,4.99
84,Petropavlovsk-Kamchatskiy,RU,2022-11-23 16:03:00,53.0452,158.6483,26.49,75,26,17.47
85,Samara,RU,2022-11-23 16:02:51,53.0,50.0,36.55,100,100,8.1
86,Ramat Gan,IL,2022-11-23 16:04:43,32.0806,34.8142,70.72,74,0,10.36
87,Rio Gallegos,AR,2022-11-23 16:04:44,-51.6226,-69.2181,57.31,23,96,34.65
88,Mersing,MY,2022-11-23 16:04:44,2.4312,103.8405,77.16,84,29,7.61
89,New Norfolk,AU,2022-11-23 16:04:45,-42.7826,147.0587,56.91,64,100,4.0
90,Bambous Virieux,MU,2022-11-23 16:04:45,-20.3428,57.7575,77.22,75,1,10.63
91,Clyde River,CA,2022-11-23 16:04:46,70.4692,-68.5914,-7.28,88,31,3.87
92,West Des Moines,US,2022-11-23 16:00:01,41.572,-93.7453,45.19,79,0,10.0
93,Alta Floresta,BR,2022-11-23 16:01:08,-9.8756,-56.0861,90.14,46,96,4.23
94,Khatanga,RU,2022-11-23 15:59:33,71.9667,102.5,-40.74,100,54,3.11
95,Whitehorse,CA,2022-11-23 16:05:47,60.7161,-135.0538,19.09,97,100,5.01
96,Norton Shores,US,2022-11-23 16:04:30,43.1689,-86.2639,46.42,85,40,8.05
97,Flinders,AU,2022-11-23 16:05:48,-34.5833,150.8552,59.38,87,9,5.5
98,Gat,IL,2022-11-23 16:05:48,31.61,34.7642,70.39,100,0,8.88
99,Zhezkazgan,KZ,2022-11-23 16:05:49,47.8043,67.7144,28.38,93,100,11.18
100,Cairns,AU,2022-11-23 16:05:49,-16.9167,145.7667,78.75,81,75,4.61
101,Torbay,CA,2022-11-23 16:00:54,47.6666,-52.7314,35.38,90,100,16.11
102,Guacimo,CR,2022-11-23 16:05:50,10.2104,-83.6807,84.22,61,85,3.76
103,Salinopolis,BR,2022-11-23 16:05:50,-0.6136,-47.3561,84.74,69,41,11.43
104,Hofn,IS,2022-11-23 16:01:17,64.2539,-15.2082,39.22,81,75,13.8
105,Lensk,RU,2022-11-23 16:05:51,60.7253,114.9278,-25.26,100,89,4.12
106,Lorengau,PG,2022-11-23 16:01:00,-2.0226,147.2712,82.13,76,51,7.9
107,Cidreira,BR,2022-11-23 16:05:52,-30.1811,-50.2056,68.43,77,72,10.85
108,Masterton,NZ,2022-11-23 16:05:52,-40.9597,175.6575,56.88,74,87,14.47
109,Uyuni,BO,2022-11-23 16:05:52,-20.4597,-66.825,63.91,23,98,4.9
110,Karasjok,NO,2022-11-23 16:05:53,69.4719,25.5112,4.91,99,72,5.14
111,Sunland Park,US,2022-11-23 16:05:53,31.7965,-106.58,53.91,50,0,5.75
112,Dunedin,NZ,2022-11-23 16:05:54,-45.8742,170.5036,49.8,67,79,8.52
113,Victoria,HK,2022-11-23 16:00:08,22.2855,114.1577,75.38,91,100,15.01
114,Poso,ID,2022-11-23 16:05:54,-1.3959,120.7524,77.9,82,100,3.15
115,Haines Junction,CA,2022-11-23 16:05:55,60.7522,-137.5108,22.05,98,100,1.57
116,Talnakh,RU,2022-11-23 16:00:52,69.4865,88.3972,-28.08,96,49,2.51
117,Khorinsk,RU,2022-11-23 16:05:56,52.1657,109.7726,6.08,94,100,2.55
118,Songjianghe,CN,2022-11-23 16:05:56,42.1859,127.479,24.67,96,75,3.04
119,Aykhal,RU,2022-11-23 16:05:56,66.0,111.5,-10.08,98,100,4.76
120,Esperance,AU,2022-11-23 16:05:57,-33.8667,121.9,71.22,41,66,21.27
121,Tilichiki,RU,2022-11-23 16:05:57,60.4667,166.1,25.34,84,100,4.32
122,Saint-Francois,FR,2022-11-23 16:03:35,46.4154,3.9054,51.24,76,75,11.5
123,Maragogi,BR,2022-11-23 16:05:58,-9.0122,-35.2225,83.25,62,51,9.82
124,Faanui,PF,2022-11-23 16:05:58,-16.4833,-151.75,79.54,74,12,4.76
125,Hong,DK,2022-11-23 16:05:59,55.5117,11.2903,44.08,86,100,15.43
126,Batagay,RU,2022-11-23 16:05:59,67.6333,134.6333,-41.4,99,84,2.39
127,Mar Del Plata,AR,2022-11-23 15:59:35,-38.0023,-57.5575,83.82,41,0,21.85
128,North Battleford,CA,2022-11-23 16:06:00,52.7834,-108.2847,31.41,92,100,8.5
129,Narsaq,GL,2022-11-23 16:06:01,60.9167,-46.05,43.02,66,100,12.44
130,Vallenar,CL,2022-11-23 16:06:01,-28.5708,-70.7581,83.98,25,0,9.37
131,Puerto Ayora,EC,2022-11-23 16:00:55,-0.7393,-90.3518,71.55,89,67,7.0
132,Tura,IN,2022-11-23 16:06:02,25.5198,90.2201,62.15,93,5,3.29
133,Whitianga,NZ,2022-11-23 16:06:03,-36.8333,175.7,59.07,79,16,16.28
134,Nikolskoye,RU,2022-11-23 16:06:03,59.7035,30.7861,26.49,90,95,5.88
135,Urumqi,CN,2022-11-23 16:04:01,43.801,87.6005,29.35,100,100,6.71
136,Nome,US,2022-11-23 16:07:04,64.5011,-165.4064,6.87,85,20,3.44
137,Hovd,MN,2022-11-23 16:07:05,48.0056,91.6419,21.88,32,11,16.35
138,Ribeira Grande,PT,2022-11-23 16:07:05,38.5167,-28.7,64.8,72,75,20.71
139,Wasilla,US,2022-11-23 16:07:06,61.5814,-149.4394,31.06,94,100,0.0
140,Beinamar,TD,2022-11-23 16:07:06,8.6698,15.3813,87.28,18,4,3.74
141,Ballina,AU,2022-11-23 16:07:07,-28.8667,153.5667,62.78,87,55,7.83
142,Luderitz,NA,2022-11-23 16:07:07,-26.6481,15.1594,67.37,65,0,15.21
143,Vao,NC,2022-11-23 16:06:17,-22.6667,167.4833,75.34,83,85,8.28
144,Golubitskaya,RU,2022-11-23 16:03:26,45.3222,37.2822,54.01,80,100,7.72
145,Salalah,OM,2022-11-23 16:04:53,17.0151,54.0924,80.69,65,20,2.3
146,Laramie,US,2022-11-23 16:07:09,41.3114,-105.5911,38.53,28,0,16.11
147,Lompoc,US,2022-11-23 16:04:35,34.6391,-120.4579,57.92,30,75,0.0
148,Bathsheba,BB,2022-11-23 16:07:09,13.2167,-59.5167,84.81,70,40,19.57
149,Harnosand,SE,2022-11-23 16:07:10,62.6323,17.9379,30.0,79,100,11.12
150,Kudahuvadhoo,MV,2022-11-23 16:07:10,2.6708,72.8944,81.72,75,86,13.76
151,Barcelos,PT,2022-11-23 16:03:16,41.5388,-8.6151,62.74,83,96,4.61
152,Jardim,BR,2022-11-23 16:03:08,-21.4803,-56.1381,89.04,45,87,4.92
153,Luganville,VU,2022-11-23 16:04:50,-15.5333,167.1667,79.02,83,10,3.22
154,Coahuayana,MX,2022-11-23 16:07:12,18.7333,-103.6833,84.24,59,3,0.38
155,Sabha,LY,2022-11-23 16:07:13,27.0377,14.4283,66.02,26,0,7.85
156,Kununurra,AU,2022-11-23 16:07:13,-15.7667,128.7333,78.78,94,75,3.44
157,Kalulushi,ZM,2022-11-23 16:07:14,-12.8378,28.0919,71.44,70,91,5.1
158,Nsanje,MW,2022-11-23 16:07:14,-16.92,35.262,86.04,50,87,6.26
159,Lebu,CL,2022-11-23 15:59:29,-37.6167,-73.65,62.82,75,6,13.56
160,Upernavik,GL,2022-11-23 16:01:02,72.7868,-56.1549,20.61,81,100,6.38
161,Castro,BR,2022-11-23 16:07:15,-24.7911,-50.0119,74.82,68,41,8.23
162,Cockburn Town,TC,2022-11-23 16:07:16,21.4612,-71.1419,81.39,76,0,17.0
163,Bubaque,GW,2022-11-23 16:07:16,11.2833,-15.8333,82.89,45,5,9.48
164,Norman Wells,CA,2022-11-23 16:00:57,65.282,-126.8329,9.45,97,97,4.09
165,Puyang,CN,2022-11-23 16:07:17,29.4603,119.8861,56.35,88,42,2.1
166,Crotone,IT,2022-11-23 16:07:17,39.0851,17.1178,57.2,57,25,8.28
167,Vardo,NO,2022-11-23 16:07:18,70.3705,31.1107,21.18,86,0,26.46
168,Iguatemi,BR,2022-11-23 16:07:19,-23.6803,-54.5611,81.23,55,31,5.86
169,Saint-Philippe,RE,2022-11-23 16:07:19,-21.3585,55.7679,76.59,83,95,8.34
170,Gorontalo,ID,2022-11-23 16:07:20,0.5412,123.0595,76.08,94,100,3.33
171,Denizli,TR,2022-11-23 16:07:20,37.8402,29.0698,58.77,63,100,6.69
172,Newport,GB,2022-11-23 16:07:21,51.5877,-2.9984,52.61,82,18,26.57
173,Enumclaw,US,2022-11-23 16:05:14,47.2043,-121.9915,45.23,91,83,1.01
174,Necochea,AR,2022-11-23 16:07:21,-38.5473,-58.7368,81.88,32,97,14.38
175,Turochak,RU,2022-11-23 16:07:22,52.2576,87.1224,4.51,92,100,6.67
176,College,US,2022-11-23 16:02:24,64.8569,-147.8028,12.58,90,75,0.0
177,Leningradskiy,RU,2022-11-23 16:07:23,69.3833,178.4167,-22.81,97,76,4.43
178,Pevek,RU,2022-11-23 15:59:38,69.7008,170.3133,-29.7,99,44,2.75
179,Nouadhibou,MR,2022-11-23 16:07:23,20.931,-17.0347,70.32,70,0,16.46
180,Labuhan,ID,2022-11-23 16:08:24,-6.8844,112.2051,79.65,83,100,6.29
181,Nerchinskiy Zavod,RU,2022-11-23 16:08:24,51.3088,119.61,-2.36,92,100,2.42
182,Vila Franca Do Campo,PT,2022-11-23 16:08:25,37.7167,-25.4333,62.2,88,100,8.03
183,Victor Harbor,AU,2022-11-23 16:08:25,-35.5667,138.6167,51.67,89,0,2.51
184,Udachnyy,RU,2022-11-23 16:08:26,66.4167,112.4,-11.13,98,100,4.25
185,East Foothills,US,2022-11-23 16:08:27,37.3811,-121.8175,56.53,74,40,0.0
186,Mayumba,GA,2022-11-23 16:08:27,-3.432,10.6554,80.42,78,58,6.24
187,Sungai Besar,MY,2022-11-23 16:08:28,3.6746,100.9867,76.73,90,15,7.14
188,Pisco,PE,2022-11-23 16:04:29,-13.7,-76.2167,69.85,78,2,10.36
189,Sault Sainte Marie,CA,2022-11-23 16:04:31,46.5168,-84.3333,36.16,80,100,4.61
190,Codrington,AU,2022-11-23 16:04:47,-38.2667,141.9667,52.57,87,100,6.96
191,Kavaratti,IN,2022-11-23 16:08:29,10.5669,72.642,80.38,66,76,7.49
192,Trairi,BR,2022-11-23 16:07:07,-3.2778,-39.2689,85.98,54,99,14.38
193,Acapulco,MX,2022-11-23 16:08:30,16.8634,-99.8901,85.82,66,0,0.0
194,San Patricio,US,2022-11-23 16:08:30,28.017,-97.5169,62.85,84,100,8.1
